chindi,cenglish
मैं आपको याद दिलाना चाहता हूँ. ,I would like to remind you.
एयरलाइन्स यह रेकमेंड करती हैं की आप अपनी फ्लाइट के डिपार्चर से काम से काम ९० मिनट्स पहले pahunch jayein.,The airlines recommend you arrive at least 90 minutes before your flight departs.
हाँ बिलकुल. ,"Yes, of course."
आपकी मदद बेहतर करने के लिए क्या आप मुझे बता सकते हैं की आप किस देश या देशों को ज़्यादा कॉल देशों ,"To better assist you, could you let me know which country or countries you'll most often be calling?"
रिफंड ३ से ५ बिज़नेस दिन में प्रोसेस होगा.,The refund will be processed within 3 to 5 business days.
उसके बाद यह आपके अकाउंट में जल्दी दिखाई देगा,It should appear in your account shortly after that.
और देखते हैं अगर कोई टेक्निकल प्रॉब्लम है.,And see if there are any technical issues.
ऐसी प्रॉब्लम जो हम अपनी तरफ से सोल्वे कर सकें.,Issues we might be able to resolve on our end.
क्या मैं आपका अकाउंट नंबर ले सकता हूँ?,"May I have your account number, please?"
अगर आप अभी भी सटिस्फीएड नहीं हैं.,If you're still unsatisfied.
तब हम आपके लिए और ओप्तिओंस डिसकस कर सकते हैं.,We can discuss further options for you at that time.
क्या आप वेलोसिटी प्लस प्लान तरय करना चाहेंगे?,Would you like to try the Velocity Plus Plan?
मैं आपकी परेशानी को पूरी तरह समझता हूँ.,I completely understand your frustration.
हम जो कुछ कर सकते हैं वह करेंगे ताकि कल तक आपका रेफ्रीजिरेटर ठीक से काम करे.,We'll do everything we can to ensure your refrigerator is working properly tomorrow.
थैंक यू मिस सिम्पसन. ,"Thank you, Miss Simpson."
मैं आपके लिए अभी कैंसिलेशन प्रक्रिया शुरू करता हूँ।,I will process the cancellation for you right away.
क्या आज मैं आपकी किसी और चीज़ में मदद कर सकता हूँ?,Is there anything else I can assist you with today?
मैं ये सुनिश्चित करूँगा की हम इस समस्या को जल्दी से सुलझा लें.,I'll make sure we resolve this issue promptly.
अगर आपके पास और कोई चिंता या सवाल हो.,If you have any more concerns or questions.
कृपया संपर्क करने में हिचकिचाएं मत.,Please don't hesitate to reach out.
यह सुनकर मुझे बहुत अफ़सोस हुआ.,I'm very sorry to hear that.
मैं इस स्थिति को समझता हूँ.,I do understand the situation.
सबसे अच्छा यह होगा की हम आपको एक नया डेबिट कार्ड इशू कर दें.,The best thing would be for us to issue you a new debit card.
कोई बात नहीं.,You're welcome.
अगर आपके पास और कोई सवाल हो या और मदद की ज़रूरत हो.,If you have any more questions or need further assistance.
कभी भी संपर्क करने में हिचकिचाएं मत.,Feel free to reach out anytime.
हम मदद करने के लिए यहाँ हैं.,We're here to help.
धन्यवाद मिस सिम्पसन.,"Thank you, Miss Simpson."
क्या आप मुझे कांसलेशन्स का कारन बता सकती हैं?,Could you please tell me the reason for the cancellations?
ताकि मैं आपको प्रोसेस में मदद कर सकूं.,So that I may assist you with the process.
मैं आपका शुक्रिया ऐडा करूँगा अगर आप लाइन पर रुक सकें.,I would appreciate it if you could stay on the line.
ताकि हमें पता चल सके की हम कैसे कर रहे हैं.,To let us know how we're doing.
ताकि हम अपनी कस्टमर सर्विस को बेहतर बना सकें.,To better improve our customer service.
ओह मुझे बहुत अफ़सोस है सुन कर की आपको इश्यूज हो रहे हैं.,"Oh, I'm so sorry to hear you're experiencing issues."
मैं आपकी चिंताओं को सुलझाने में मदद करना चाहता हूँ.,I'd like to help address your concerns.
और देखना चाहता हूँ अगर कोई चीज़ है.,And see if there's anything.
मैं आपकी चिंता को समझता हूँ.,I understand your concern.
क्या आप मुझे थोड़ा सा बता सकती हैं उस ड्रेस के बारे में जिसमे आप इंटरेस्टेड हैं?,Could you tell me a little bit about the dress you are interested in?
या शायद आइटम नंबर बता सकती हैं.,Or perhaps the item number.
मैं समझता हूँ आपकी हेसिताशन मिस थॉम्पसन.,"I understand your hesitation, Miss Thompson."
प्राइस शायद पहले ज़्यादा लगे पर मैं आपको हेल्थ लाइफ मैगज़ीन सब्सक्रिप्शन के बेनिफिट्स समझाता हूँ.,"The price may seem high upfront, but let me walk you through the benefits you get with your Health Life Magazine subscription."
हम एक्सक्लूसिव कंटेंट ऑफर करते हैं जो सिर्फ हमारे सब्सक्राइबर्स के लिए अवेलेबल होता है जैसे वीकली आर्टिकल्स हेल्थ एक्सपर्ट्स से.,"We offer exclusive content only available to our subscribers, including weekly articles from health experts."
पर्सनलाइज्ड वैलनेस प्लान्स हमारी प्रीमियम वीडियो लाइब्रेरी का एक्सेस जिसमे गाइडेड फिटनेस रूटीन्स और न्यूट्रिशनल रेकमेंडेशन्स हैं जो आपके पर्सनल गोल्स पर बेस्ड हैं.,"Personalized wellness plans, access to our premium video library with guided fitness routines and nutritional recommendations based on your own individual goals."
और आपको हेल्थ- रिलेटेड प्रोडक्ट्स और सर्विसेज पर डिस्कोउन्ट्स मिलेंगे.,"Plus, you'll receive discounts on various health-related products and services."
६ महीने के दौरान ये $१० से काम पैर मंथ पड़ता है.,"Over the course of 6 months, that works out to less than $10 a month."
